# a dx dy
16 0.3335 -0.3335
16 0.3335 -0.3335
12 0.0 0.0
20 0.667 -0.667
21 0.667 -0.3335
7 -0.3335 0.0
13 0.0 0.3335
20 0.667 -0.667
0 -0.667 -0.667
17 0.3335 0.0
8 -0.3335 0.3335
12 0.0 0.0
11 0.0 -0.3335
6 -0.3335 -0.3335
23 0.667 0.3335
6 -0.3335 -0.3335
10 0.0 -0.667
18 0.3335 0.3335
11 0.0 -0.3335
9 -0.3335 0.667
24 0.667 0.667
11 0.0 -0.3335
0 -0.667 -0.667
10 0.0 -0.667
13 0.0 0.3335
3 -0.667 0.3335
4 -0.667 0.667
0 -0.667 -0.667
21 0.667 -0.3335
13 0.0 0.3335
19 0.3335 0.667
17 0.3335 0.0
8 -0.3335 0.3335
7 -0.3335 0.0
6 -0.3335 -0.3335
3 -0.667 0.3335
23 0.667 0.3335
11 0.0 -0.3335
21 0.667 -0.3335
6 -0.3335 -0.3335
12 0.0 0.0
22 0.667 0.0
1 -0.667 -0.3335
0 -0.667 -0.667
23 0.667 0.3335
10 0.0 -0.667
17 0.3335 0.0
5 -0.3335 -0.667
17 0.3335 0.0
14 0.0 0.667
5 -0.3335 -0.667
13 0.0 0.3335
10 0.0 -0.667
16 0.3335 -0.3335
17 0.3335 0.0
24 0.667 0.667
15 0.3335 -0.667
24 0.667 0.667
4 -0.667 0.667
1 -0.667 -0.3335
14 0.0 0.667
5 -0.3335 -0.667
23 0.667 0.3335
8 -0.3335 0.3335
9 -0.3335 0.667
15 0.3335 -0.667
17 0.3335 0.0
19 0.3335 0.667
19 0.3335 0.667
19 0.3335 0.667
24 0.667 0.667
1 -0.667 -0.3335
13 0.0 0.3335
13 0.0 0.3335
11 0.0 -0.3335
6 -0.3335 -0.3335
8 -0.3335 0.3335
10 0.0 -0.667
4 -0.667 0.667
15 0.3335 -0.667
8 -0.3335 0.3335
9 -0.3335 0.667
9 -0.3335 0.667
1 -0.667 -0.3335
17 0.3335 0.0
10 0.0 -0.667
6 -0.3335 -0.3335
7 -0.3335 0.0
2 -0.667 0.0
8 -0.3335 0.3335
12 0.0 0.0
22 0.667 0.0
22 0.667 0.0
0 -0.667 -0.667
24 0.667 0.667
13 0.0 0.3335
15 0.3335 -0.667
19 0.3335 0.667
21 0.667 -0.3335
21 0.667 -0.3335
